country_code,country_name,region,climate_zone,year,season,temp_seasonal_mean,temp_seasonal_anomaly,precip_seasonal_total,precip_seasonal_anomaly
AUS,Australia,Oceania,Arid / Mediterranean,1968,Winter (JJA),8.799784946236558,-0.7348542413381125,81.6,-28.333333333333343
AUS,Australia,Oceania,Arid / Mediterranean,1969,Autumn (MAM),16.442437275985665,-1.0268745519713243,162.1,42.59333333333333
AUS,Australia,Oceania,Arid / Mediterranean,1969,Spring (SON),15.325232974910394,-1.3854528076463566,135.8,0.2733333333333263
AUS,Australia,Oceania,Arid / Mediterranean,1969,Summer (DJF),24.996351766513058,0.4355323816586356,116.5,-15.05
AUS,Australia,Oceania,Arid / Mediterranean,1969,Winter (JJA),9.751182795698925,0.21654360812425408,124.19999999999999,14.266666666666659
AUS,Australia,Oceania,Arid / Mediterranean,1970,Autumn (MAM),16.12197132616487,-1.3473405017921138,114.6,-4.906666666666666
AUS,Australia,Oceania,Arid / Mediterranean,1970,Spring (SON),15.864193548387098,-0.8464922341696539,182.0,46.47333333333332
AUS,Australia,Oceania,Arid / Mediterranean,1970,Summer (DJF),24.806105990783408,0.24528660592898652,48.7,-82.85
AUS,Australia,Oceania,Arid / Mediterranean,1970,Winter (JJA),9.487347670250896,-0.04729151732377564,70.4,-39.53333333333334
AUS,Australia,Oceania,Arid / Mediterranean,1971,Autumn (MAM),17.978494623655916,0.5091827956989269,40.599999999999994,-78.90666666666667
AUS,Australia,Oceania,Arid / Mediterranean,1971,Spring (SON),15.632903225806452,-1.0777825567503,144.8,9.273333333333326
AUS,Australia,Oceania,Arid / Mediterranean,1971,Summer (DJF),23.342549923195083,-1.2182694616593384,323.29999999999995,191.75
AUS,Australia,Oceania,Arid / Mediterranean,1971,Winter (JJA),8.599605734767026,-0.9350334528076457,97.80000000000001,-12.133333333333333
